date,open,high,low,close,volume,ticker
2024-11-18,414.87,418.39999,412.10001,415.76001,24742000,MSFT
2024-11-18,139.5,141.55,137.14999,140.14999,221866000,NVDA
2024-11-18,64.92,64.92,58.85,61.26,137877600,PLTR
2024-11-19,141.32001,147.13,140.99001,147.0099945,227834900,NVDA
2024-11-19,59.51,63.0099983,59.265,62.98,75557800,PLTR
2024-11-19,413.10999,417.94,411.54999,417.79001,18133500,MSFT
2024-11-20,62.59,63.080002,59.96,62.12,59182200,PLTR
2024-11-20,416.87,417.29001,410.57999,415.48999,19191700,MSFT
2024-11-20,147.41,147.56,142.73,145.89,309871700,NVDA
2024-11-21,62.040001,63.4,60.895,61.36,56336700,PLTR
2024-11-21,419.5,419.78,410.29001,412.87,20780200,MSFT
2024-11-21,149.35001,152.89,140.7,146.67,400946600,NVDA
2024-11-22,61.6,64.44,61.37,64.35,61381700,PLTR
2024-11-22,411.37,417.39999,411.059998,417,24814600,MSFT
2024-11-22,145.92999,147.16,141.10001,141.95,236406200,NVDA
2024-11-25,141.99001,142.050003,135.82001,136.020004,344941900,NVDA
2024-11-25,66.9,67.88,64.080002,64.65,80640500,PLTR
2024-11-25,418.38,421.079987,414.85001,418.79001,27691100,MSFT
2024-11-26,64.57,65.85,63.89,65.74,46923600,PLTR
2024-11-26,137.7,139.3,135.67,136.92,190287700,NVDA
2024-11-26,419.59,429.040009,418.85001,427.98999,23458900,MSFT
2024-11-27,425.10999,427.23001,422.019989,422.98999,18332400,MSFT
2024-11-27,135.0099945,137.22,131.8,135.34,226370900,NVDA
2024-11-27,66.24,67.56,64.24,66.050003,53839900,PLTR
2024-11-29,420.089996,424.88,417.79999,423.45999,16271900,MSFT
2024-11-29,136.78,139.35001,136.050003,138.25,141863200,NVDA
2024-11-29,65.89,67.16,65.47,67.080002,30104000,PLTR
2024-12-02,421.57001,433,421.31,430.98001,20207200,MSFT
2024-12-02,138.83,140.45,137.82001,138.63,171682800,NVDA
2024-12-02,67.44,67.88,65.96,66.39,46405000,PLTR
2024-12-03,429.84,432.47,427.73999,431.20001,18302000,MSFT
2024-12-03,138.25999,140.53999,137.95,140.25999,164414000,NVDA
2024-12-03,66.41,71.37,66.15,70.96,100751400,PLTR
2024-12-04,71.13,71.18,67.28,69.85,86284800,PLTR
2024-12-04,142,145.78999,140.28999,145.14,231224300,NVDA
2024-12-04,433.029999,439.67001,432.63,437.42001,26009400,MSFT
2024-12-05,70.11,72.98,69.89,71.87,66585800,PLTR
2024-12-05,145.11,146.53999,143.95,145.059998,172621200,NVDA
2024-12-05,437.92001,444.66,436.17001,442.62,21697800,MSFT
2024-12-06,72.95,76.82,72.28,76.34,93640900,PLTR
2024-12-06,442.29999,446.10001,441.76999,443.57001,18821000,MSFT
2024-12-06,144.60001,145.7,141.31,142.44,188505600,NVDA
2024-12-09,442.60001,448.32999,440.5,446.019989,19144400,MSFT
2024-12-09,80.58,80.91,71.050003,72.46,168134800,PLTR
2024-12-09,138.97,139.95,137.13,138.81,189308600,NVDA
2024-12-10,444.39001,449.62,441.60001,443.32999,18469500,MSFT
2024-12-10,71.99,75.56,70.73,70.89,89672500,PLTR
2024-12-10,139.0099945,141.82001,133.78999,135.070007,210020900,NVDA
2024-12-11,444.049988,450.35001,444.049988,448.98999,19200200,MSFT
2024-12-11,137.36,140.17,135.21001,139.31,184905200,NVDA
2024-12-11,72.98,73,68.07,72.51,89477700,PLTR
2024-12-12,449.10999,456.16,449.10999,449.56,20834800,MSFT
2024-12-12,137.080002,138.44,135.8,137.34,159211400,NVDA
2024-12-12,72.3,75.38,71.9,73.2,73859700,PLTR
2024-12-13,138.94,139.60001,132.53999,134.25,231514900,NVDA
2024-12-13,73.49,76.099998,72.45,76.07,76172800,PLTR
2024-12-13,448.44,451.42999,445.57999,447.26999,20177800,MSFT
2024-12-16,447.26999,452.17999,445.28,451.59,23598800,MSFT
2024-12-16,134.17999,134.39999,130.42,132,237951100,NVDA
2024-12-16,75.059998,77.82,71.16,75.75,126099600,PLTR
2024-12-17,129.089996,131.59,126.86,130.39,259410300,NVDA
2024-12-17,451.01001,455.29001,449.57001,454.45999,22733500,MSFT
2024-12-17,73.28,75.32,71.7,74.39,75469400,PLTR
2024-12-18,74.3,77.6,70.27,71.51,109643400,PLTR
2024-12-18,133.86,136.7,128.28,128.91,277444500,NVDA
2024-12-18,451.32001,452.64999,437.019989,437.39001,24444500,MSFT
2024-12-19,441.62,443.17999,436.32001,437.029999,22963700,MSFT
2024-12-19,131.75999,134.029999,129.55,130.67999,209719200,NVDA
2024-12-19,73.99,76.59,73.37,74.21,99524300,PLTR
2024-12-20,72.64,80.66,71.5,80.55,281230800,PLTR
2024-12-20,433.10999,443.73999,428.63,436.60001,64263700,MSFT
2024-12-20,129.81,135.28,128.22,134.7,306528600,NVDA
2024-12-23,436.73999,437.64999,432.82999,435.25,19152500,MSFT
2024-12-23,136.28,139.78999,135.12,139.67,176053500,NVDA
2024-12-23,80.65,82.019997,77.41,80.69,93819500,PLTR
2024-12-24,140,141.89999,138.64999,140.22,105157000,NVDA
2024-12-24,434.64999,439.60001,434.19,439.32999,7164500,MSFT
2024-12-24,81.089996,84.797,81,82.38,64983300,PLTR
2024-12-26,139.7,140.85001,137.73,139.92999,116205600,NVDA
2024-12-26,439.079987,440.94,436.63,438.10999,8194200,MSFT
2024-12-26,83.16,83.49,81.3,82.14,60377100,PLTR
2024-12-27,434.60001,435.22,426.35001,430.53,18117700,MSFT
2024-12-27,81.42,82,77.93,79.080002,66975900,PLTR
2024-12-27,138.55,139.020004,134.71001,137.0099945,170582600,NVDA
2024-12-30,77.040001,79.24,76.11,77.18,60850900,PLTR
2024-12-30,134.83,140.27,134.020004,137.49001,167734700,NVDA
2024-12-30,426.059998,427.54999,421.89999,424.82999,13158700,MSFT
2024-12-31,77.58,77.98,73.65,75.63,56267900,PLTR
2024-12-31,138.029999,138.070007,133.83,134.28999,155659200,NVDA
